,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,label
128,0.878897,0.338041,0.038571,0.108886,0.141236,0.166633,0.026756,0.012486,happiness
129,0.791994,0.32434,0.038388,0.108299,0.140234,0.166193,0.026959,0.012465,happiness
130,0.909553,0.326761,0.044726,0.108585,0.144692,0.171449,0.030513,0.012769,happiness
131,1.030782,0.422443,0.049767,0.109106,0.147317,0.171829,0.033303,0.016246,happiness
132,1.179011,0.439803,0.054091,0.109813,0.143539,0.17481,0.043949,0.018868,happiness
133,1.334741,0.492971,0.055779,0.113217,0.152219,0.176377,0.043659,0.018601,happiness
134,1.230331,0.484956,0.054335,0.11171,0.149808,0.176012,0.042271,0.018391,happiness
135,1.29807,0.507761,0.056167,0.122759,0.20836,0.199894,0.047186,0.022425,happiness
136,1.293374,0.510229,0.052105,0.119943,0.20783,0.200591,0.045045,0.021037,happiness
137,1.169437,0.293054,0.060237,0.042531,0.111844,0.088276,0.034385,0.017313,happiness
138,0.988094,0.257675,0.051035,0.034442,0.09022,0.066882,0.03287,0.016238,happiness
139,1.071856,0.261305,0.052409,0.035084,0.092491,0.070741,0.032851,0.0163,happiness
140,1.134779,0.271907,0.047919,0.039479,0.091619,0.068537,0.029722,0.014576,happiness
141,1.057771,0.176129,0.042353,0.038688,0.089225,0.065814,0.025803,0.010496,happiness
142,0.94083,0.157741,0.037177,0.036119,0.086737,0.058933,0.012806,0.006914,happiness
143,0.811728,0.103079,0.037511,0.03424,0.081403,0.058597,0.011063,0.006467,happiness
144,1.024531,0.097516,0.037446,0.034265,0.081358,0.058225,0.011171,0.00598,happiness
145,0.898462,0.077182,0.035501,0.02137,0.022468,0.034286,0.006403,0.002026,happiness
146,1.006101,0.170755,0.073227,0.083332,0.048215,0.056409,0.0105,0.002434,happiness
147,1.034698,0.152754,0.06177,0.095293,0.053576,0.051384,0.009479,0.002464,happiness
148,0.984511,0.153225,0.057787,0.094287,0.054146,0.051484,0.009275,0.002228,happiness
149,1.085871,0.189298,0.058211,0.100887,0.05644,0.055123,0.010164,0.002822,happiness
150,0.940711,0.173328,0.057457,0.096925,0.053278,0.051116,0.009605,0.00241,happiness
151,1.014435,0.180898,0.05935,0.099576,0.053381,0.053726,0.009918,0.002549,happiness
152,1.151521,0.275965,0.080999,0.107296,0.065536,0.066456,0.011683,0.003726,happiness
153,1.174866,0.284331,0.090369,0.110853,0.067249,0.06597,0.01183,0.003803,happiness
154,0.956917,0.286211,0.089908,0.11121,0.067262,0.065499,0.011308,0.003743,happiness
155,1.019915,0.277512,0.088282,0.111303,0.066278,0.064866,0.011192,0.003629,happiness
156,0.810479,0.192831,0.062252,0.052887,0.042745,0.044611,0.006634,0.003029,happiness
157,0.80253,0.197298,0.055799,0.038382,0.038312,0.043338,0.007458,0.003193,happiness
158,0.854072,0.196971,0.056328,0.037926,0.036702,0.042395,0.007001,0.0032,happiness
159,0.86702,0.157613,0.056542,0.030806,0.032652,0.035631,0.005889,0.002565,happiness
160,0.880559,0.15621,0.055548,0.029427,0.031642,0.035348,0.005631,0.002583,happiness
161,0.829211,0.149871,0.05381,0.02938,0.036195,0.039917,0.005938,0.002604,happiness
162,0.757131,0.090292,0.034168,0.02407,0.026542,0.029401,0.004461,0.00164,happiness
163,0.746555,0.116056,0.025566,0.021698,0.022736,0.02641,0.004408,0.001661,happiness
164,0.896539,0.141027,0.029816,0.031119,0.028444,0.054596,0.004986,0.002469,happiness
165,0.912298,0.142779,0.030173,0.032741,0.029587,0.056633,0.005405,0.002581,happiness
166,0.91224,0.133215,0.019839,0.030538,0.027751,0.051172,0.005712,0.002643,happiness
167,0.862796,0.128594,0.019757,0.02767,0.024224,0.046813,0.004966,0.002457,happiness
168,0.988657,0.128878,0.019268,0.027835,0.024849,0.047386,0.005208,0.002422,happiness
169,0.882727,0.130369,0.018826,0.028212,0.025309,0.047013,0.005346,0.002437,happiness
170,0.918812,0.133381,0.021824,0.030949,0.02698,0.047192,0.006059,0.002508,happiness
171,0.886098,0.134818,0.026057,0.029221,0.023223,0.043552,0.005587,0.002414,happiness
172,1.035365,0.13238,0.064271,0.031341,0.023866,0.048745,0.006051,0.002766,happiness
173,1.006557,0.100473,0.064157,0.028706,0.023987,0.050115,0.006056,0.002738,happiness
174,0.914023,0.075943,0.061979,0.019934,0.019402,0.023712,0.005767,0.002089,happiness
175,0.910969,0.07494,0.062226,0.01953,0.021232,0.027943,0.011409,0.005078,happiness
176,0.937276,0.075526,0.066141,0.020379,0.023091,0.02913,0.010964,0.005103,happiness
177,0.980128,0.076505,0.0677,0.020536,0.025066,0.030176,0.011721,0.005839,happiness
178,0.881559,0.099203,0.101943,0.026159,0.03884,0.03902,0.014176,0.007106,happiness
179,0.794469,0.117787,0.103893,0.030838,0.045693,0.042273,0.016362,0.008908,happiness
180,0.805269,0.123339,0.103659,0.030445,0.045419,0.043169,0.016298,0.009055,happiness
181,0.908262,0.131008,0.104644,0.037087,0.04617,0.040476,0.019406,0.009159,happiness
182,0.736547,0.107443,0.0699,0.035629,0.046207,0.039448,0.019531,0.00894,happiness
183,0.938211,0.151336,0.090374,0.053642,0.095927,0.07909,0.023205,0.012591,happiness
184,0.890234,0.151011,0.088899,0.055737,0.099404,0.078705,0.023236,0.012486,happiness
185,0.900936,0.180525,0.094829,0.065376,0.106949,0.07766,0.020486,0.009859,happiness
186,0.913789,0.182937,0.089262,0.06288,0.104839,0.074812,0.020052,0.010259,happiness
187,0.931573,0.180342,0.086755,0.063126,0.103295,0.073651,0.018996,0.009859,happiness
188,0.92384,0.167706,0.053357,0.058229,0.090552,0.065251,0.017587,0.008775,happiness
189,0.973907,0.148272,0.049997,0.056174,0.083881,0.064435,0.015484,0.006915,happiness
190,0.937256,0.143293,0.047992,0.05425,0.086983,0.065773,0.01607,0.006801,happiness
191,0.876764,0.154041,0.043799,0.046275,0.084503,0.067917,0.01327,0.006755,happiness
192,0.971049,0.14982,0.039427,0.052907,0.0888,0.063778,0.013116,0.007441,happiness
193,0.827949,0.120616,0.014365,0.035579,0.039823,0.02317,0.010037,0.003797,happiness
194,0.852458,0.137685,0.02332,0.042939,0.04251,0.029248,0.011753,0.005016,happiness
195,0.878728,0.112174,0.017199,0.032854,0.032279,0.024395,0.00873,0.004767,happiness
196,0.792555,0.106608,0.017858,0.031776,0.033579,0.026921,0.010794,0.004626,happiness
